directory_name,name_ja,image_order,is_main,image_url
nosferamon,ノスフェラモン,1,True,https://digimon.net/cimages/digimon/nosferamon.jpg
artiomon,アルティオモン,1,True,https://digimon.net/cimages/digimon/artiomon.jpg
atratusmon,アトラタスモン,1,True,https://digimon.net/cimages/digimon/atratusmon.jpg
albatusmon,アルバタスモン,1,True,https://digimon.net/cimages/digimon/albatusmon.jpg
heliosboamon,ヘリオスボアモン,1,True,https://digimon.net/cimages/digimon/heliosboamon.jpg
habakirimon,ハバキリモン,1,True,https://digimon.net/cimages/digimon/habakirimon.jpg
bearcatmon,ベアキャットモン,1,True,https://digimon.net/cimages/digimon/bearcatmon.jpg
taowumon,タオウーモン,1,True,https://digimon.net/cimages/digimon/taowumon.jpg
scourgechiropmon,スカージキロプモン,1,True,https://digimon.net/cimages/digimon/scourgechiropmon.jpg
monarchlizamon,モナークリザモン,1,True,https://digimon.net/cimages/digimon/monarchlizamon.jpg
apollomon_whispered,アポロモン：ウィスパード,1,True,https://digimon.net/cimages/digimon/apollomon_whispered.jpg
kingwhamon,キングホエーモン,1,True,https://digimon.net/cimages/digimon/kingwhamon.jpg
armamon_burstmode,アルマモン：バーストモード,1,True,https://digimon.net/cimages/digimon/armamon_burstmode.jpg
armamon,アルマモン,1,True,https://digimon.net/cimages/digimon/armamon.jpg
shoutmonx5s,シャウトモンX5S,1,True,https://digimon.net/cimages/digimon/shoutmonx5s.jpg
vortexdramon,ヴォルテクスドラモン,1,True,https://digimon.net/cimages/digimon/vortexdramon.jpg
shoutmonx4s,シャウトモンX4S,1,True,https://digimon.net/cimages/digimon/shoutmonx4s.jpg
shoutmonx3sd,シャウトモンX3SD,1,True,https://digimon.net/cimages/digimon/shoutmonx3sd.jpg
shoutmonx3gm,シャウトモンX3GM,1,True,https://digimon.net/cimages/digimon/shoutmonx3gm.jpg
azhdarmon,アズダルモン,1,True,https://digimon.net/cimages/digimon/azhdarmon.jpg
tengumon,テングモン,1,True,https://digimon.net/cimages/digimon/tengumon.jpg
amaterasumon,アマテラスモン,1,True,https://digimon.net/cimages/digimon/amaterasumon.jpg
enmamon,エンマモン,1,True,https://digimon.net/cimages/digimon/enmamon.jpg
seitengokuwmon,セイテンゴクウモン,1,True,https://digimon.net/cimages/digimon/seitengokuwmon.jpg
