directory_name,detail_url,name_ja,name_roman,level_raw,level_normalized,type_raw,type_normalized,attribute_raw,attribute_normalized,special_moves_raw,main_image_url,has_additional_illustrations,additional_illustration_count,listing_level,listing_level_2,listing_level_order,is_x_antibody,icon_new,icon_20th,profile_ja_available_on_official_page,profile_ja_char_count,profile_ja_sha256,profile_ja_omitted_from_bundle
nosferamon,https://digimon.net/reference/detail.php?directory_name=nosferamon,ノスフェラモン,NOSFERAMON,究極体,究極体,アンデッド型,アンデッド型,ウィルス,ウィルス,"・ランページバレット
・アネスシージアゲイズ",https://digimon.net/cimages/digimon/nosferamon.jpg,False,0,究極体,,6,False,True,False,True,603,8d6a37e089a0cbb9da532ada4e42eabf5dec01b0b173f04a6aab9dd0f4f94d01,True
artiomon,https://digimon.net/reference/detail.php?directory_name=artiomon,アルティオモン,ARTIOMON,究極体,究極体,獣人型,獣人型,ワクチン,ワクチン,"・ドゥームバスター
・ディキャピテイトクロウ",https://digimon.net/cimages/digimon/artiomon.jpg,False,0,究極体,,6,False,True,False,True,520,e64df501cb6a8ee172628c82abf90a4a02a8a36690b5ea0c692b7026d4ea3aa7,True
atratusmon,https://digimon.net/reference/detail.php?directory_name=atratusmon,アトラタスモン,ATRATUSMON,究極体,究極体,突然変異型,突然変異型,データ,データ,・,https://digimon.net/cimages/digimon/atratusmon.jpg,False,0,究極体,,6,False,True,False,True,58,de1f45fef6cecb6b4cd877e2697b56ceb669fdc93c623aa41e52d9982b756500,True
albatusmon,https://digimon.net/reference/detail.php?directory_name=albatusmon,アルバタスモン,ALBATUSMON,究極体,究極体,突然変異型,突然変異型,データ,データ,・,https://digimon.net/cimages/digimon/albatusmon.jpg,False,0,究極体,,6,False,True,False,True,58,8dae5ff281c51b3362e6273d29f3738661bf139aee3566f87b2e0c7812537ca2,True
heliosboamon,https://digimon.net/reference/detail.php?directory_name=heliosboamon,ヘリオスボアモン,HELIOSBOAMON,完全体,完全体,爬虫類型,爬虫類型,データ,データ,"・ソウルパラヴライザー
・レストリクトアイ",https://digimon.net/cimages/digimon/heliosboamon.jpg,False,0,完全体,,5,False,False,False,True,653,d020d763b3ba7893fcdb8e182bce7847819d6f2feaef7fc13538cffe3b8ebc2f,True
habakirimon,https://digimon.net/reference/detail.php?directory_name=habakirimon,ハバキリモン,HABAKIRIMON,究極体,究極体,神人型,神人型,ウィルス,ウィルス,"・羽々斬（はばきり）
・麁正（あらまさ）",https://digimon.net/cimages/digimon/habakirimon.jpg,False,0,究極体,,6,False,False,False,True,689,e0a46d2b318d35d29cda75e3cd1271ac7d9f7ea241ce51f3b40fd0b9218ff138,True
bearcatmon,https://digimon.net/reference/detail.php?directory_name=bearcatmon,ベアキャットモン,BEARCATMON,完全体,完全体,獣人型,獣人型,ワクチン,ワクチン,"・ペネトレイトブロウ
・マーダライズラッシュ
・ベアダウンスピニングキック",https://digimon.net/cimages/digimon/bearcatmon.jpg,False,0,完全体,,5,False,False,False,True,564,d3c7e1d33dd9a8871ae456a8117fe9773400c1eb90bad3fe3f8a39855b5a0ef9,True
taowumon,https://digimon.net/reference/detail.php?directory_name=taowumon,タオウーモン,TAOWUMON,究極体,究極体,魔獣型,魔獣型,ウィルス,ウィルス,"・氷骸礫(ひょうがいれき)
・轟蹄崩(ごうていほう)
・凍烈檮牙(とうれつとうが)",https://digimon.net/cimages/digimon/taowumon.jpg,False,0,究極体,,6,False,False,False,True,438,825dd3f24273eac9c273b2f48bc6d6247f9c751aa5eaacaf0d2c88de6619eee7,True
scourgechiropmon,https://digimon.net/reference/detail.php?directory_name=scourgechiropmon,スカージキロプモン,SCOURGECHIROPMON,完全体,完全体,マシーン型,マシーン型,ウィルス,ウィルス,"・トライアンギュレーションスキャン
・デスペアブラスト
・エリミネイトレイン
・サイレントスクリーム",https://digimon.net/cimages/digimon/scourgechiropmon.jpg,False,0,完全体,,5,False,False,False,True,645,87baaf470ef0cf96451d466ad188ad34ce10cf8269576bfc52de064e44a9515c,True
monarchlizamon,https://digimon.net/reference/detail.php?directory_name=monarchlizamon,モナークリザモン,MONARCHLIZAMON,完全体,完全体,サイボーグ型,サイボーグ型,データ,データ,"・アナイアレイトエッジ
・モナークオーディナンス
・ファイナルジャッジメント",https://digimon.net/cimages/digimon/monarchlizamon.jpg,False,0,完全体,,5,False,False,False,True,568,5b27aa1691ba544e444e366d1ee4999c5b746c63ea3fa61fcf25c59e8488d5ad,True
apollomon_whispered,https://digimon.net/reference/detail.php?directory_name=apollomon_whispered,アポロモン：ウィスパード,APOLLOMON：WHISPERED,"究極体
(クロスウォーズ)","究極体
(クロスウォーズ)",神人型,神人型,ウィルス,ウィルス,"・アロー・オブ・ウィスパード
・サン・オブ・ソローズ",https://digimon.net/cimages/digimon/apollomon_whispered.jpg,False,0,究極体,クロスウォーズ,6,False,False,False,True,231,d7f2b0c35bf8b7f546a0c90ed4c1ccc3af5906361112fef422d82b1fef5ce67e,True
kingwhamon,https://digimon.net/reference/detail.php?directory_name=kingwhamon,キングホエーモン,KINGWHAMON,究極体,究極体,水棲哺乳類型,水棲哺乳類型,ワクチン,ワクチン,"・ウォジェット
・ライドライト",https://digimon.net/cimages/digimon/kingwhamon.jpg,False,0,究極体,,6,False,False,False,True,178,9f3c28470fd89cda8387284e65481441ebd0856c9d4f20246e3c1a4049f1594b,True
armamon_burstmode,https://digimon.net/reference/detail.php?directory_name=armamon_burstmode,アルマモン：バーストモード,ARMAMON:BURSTMODE,"究極体
(クロスウォーズ)","究極体
(クロスウォーズ)",武器型,武器型,フリー,フリー,"・ソード・オブ・メテオ
・インフィニティソードレイン",https://digimon.net/cimages/digimon/armamon_burstmode.jpg,False,0,究極体,クロスウォーズ,6,False,False,False,True,245,54861c86e15d1c74dc542bda13231d3f830bb076aa738e4d5ec288204a519a3f,True
armamon,https://digimon.net/reference/detail.php?directory_name=armamon,アルマモン,ARMAMON,"究極体
(クロスウォーズ)","究極体
(クロスウォーズ)",武器型,武器型,フリー,フリー,"・マルクトクリスタル
・レインボーハンド
・ソードマスカレード",https://digimon.net/cimages/digimon/armamon.jpg,False,0,究極体,クロスウォーズ,6,False,False,False,True,313,de9f6b4b6c8d57598ecbb5e1c2025ed110d4ec168140ee29859eeec8fa711cbd,True
shoutmonx5s,https://digimon.net/reference/detail.php?directory_name=shoutmonx5s,シャウトモンX5S,SHOUTMONX5S,"究極体
(クロスウォーズ)","究極体
(クロスウォーズ)",合成型,合成型,データ,データ,"・スペースチャクラム
・ヘリオスラッシャー
・コズモビクトリー",https://digimon.net/cimages/digimon/shoutmonx5s.jpg,False,0,究極体,クロスウォーズ,6,False,False,False,True,189,a5681b9f4e4159d27c6a148e43536bbaacd9c1d28850341500dbdf476c9e6b74,True
vortexdramon,https://digimon.net/reference/detail.php?directory_name=vortexdramon,ヴォルテクスドラモン,VORTEXDRAMON,究極体,究極体,鳥竜型,鳥竜型,データ,データ,"・フローズンガスト
・ブレイジングガスト
・レーヴァテイン",https://digimon.net/cimages/digimon/vortexdramon.jpg,False,0,究極体,,6,False,False,False,True,301,4b10862be312919c9805cabe6ec5b2cd26b665b12456a95b061313a043a43a4c,True
shoutmonx4s,https://digimon.net/reference/detail.php?directory_name=shoutmonx4s,シャウトモンX4S,SHOUTMONX4S,"完全体
(クロスウォーズ)","完全体
(クロスウォーズ)",合成型,合成型,データ,データ,"・ブレイズファイアー
・クロスレッド＆ブルー
・ビクトリーブレイブ",https://digimon.net/cimages/digimon/shoutmonx4s.jpg,False,0,完全体,クロスウォーズ,5,False,False,False,True,189,55dc138473ebdc7522b9e5b58cbb19c0055bfa06a9031656a0279ebf5cabd34e,True
shoutmonx3sd,https://digimon.net/reference/detail.php?directory_name=shoutmonx3sd,シャウトモンX3SD,SHOUTMONX3SD,"完全体
(クロスウォーズ)","完全体
(クロスウォーズ)",戦士型,戦士型,データ,データ,"・アシッドタイフーン
・ビリオンスタブ",https://digimon.net/cimages/digimon/shoutmonx3sd.jpg,False,0,完全体,クロスウォーズ,5,False,False,False,True,166,a1fb7b12b5f412f1bc7162d3e50ed81eaeba744fbcac35de581bc5edfa169714,True
shoutmonx3gm,https://digimon.net/reference/detail.php?directory_name=shoutmonx3gm,シャウトモンX3GM,SHOUTMONX3GM,"完全体
(クロスウォーズ)","完全体
(クロスウォーズ)",翼竜型,翼竜型,データ,データ,"・ワイルドバーニング
・ブリリアンスダガー
・ブレス・オブ・ペルーン",https://digimon.net/cimages/digimon/shoutmonx3gm.jpg,False,0,完全体,クロスウォーズ,5,False,False,False,True,211,4ffbd5be6f226c52e487b4a3df47034ca2d309c63e5d41f1fb8eaa8a8fbca7f1,True
azhdarmon,https://digimon.net/reference/detail.php?directory_name=azhdarmon,アズダルモン,AZHDARMON,完全体,完全体,翼竜型,翼竜型,ウィルス,ウィルス,"・トマホークストライク
・トライカーヴレイン
・トリニティライトニング",https://digimon.net/cimages/digimon/azhdarmon.jpg,False,0,完全体,,5,False,False,False,True,360,e79f16f3f680f2d354884519a32bb3b3cb22d2d2c16f65f2b7bdd8581dc7b288,True
tengumon,https://digimon.net/reference/detail.php?directory_name=tengumon,テングモン,TENGUMON,究極体,究極体,鳥人型,鳥人型,ウィルス,ウィルス,"・魔縁斬蹴撃（まえんざんしゅうげき）
・尊天大烈風（そんてんだいれっぷう）",https://digimon.net/cimages/digimon/tengumon.jpg,False,0,究極体,,6,False,False,False,True,304,2307bfcb62f51154ee88bc36fbd867f4842f7ee88aa23d19fc5204192d2a3ae3,True
amaterasumon,https://digimon.net/reference/detail.php?directory_name=amaterasumon,アマテラスモン,AMATERASUMON,究極体,究極体,神人型,神人型,ワクチン,ワクチン,"・厳之御魂（いづのみたま）
・六合照徹閃（りくごうしょうてつせん）",https://digimon.net/cimages/digimon/amaterasumon.jpg,False,0,究極体,,6,False,False,False,True,299,ce9567d7c57e0ffa4da4840e288b791671ad2f222d4d293c271c5742ba15b64e,True
enmamon,https://digimon.net/reference/detail.php?directory_name=enmamon,エンマモン,ENMAMON,究極体,究極体,魔王型,魔王型,ウィルス,ウィルス,"・浄玻璃鏡(じょうはりのかがみ)
・閻羅王降誕（えんらおうごうたん）",https://digimon.net/cimages/digimon/enmamon.jpg,False,0,究極体,,6,False,False,False,True,362,07e1fdd64e14810a32e0c025aed26a5525158b21b769ea35c8f2fbebff3fe81a,True
seitengokuwmon,https://digimon.net/reference/detail.php?directory_name=seitengokuwmon,セイテンゴクウモン,SEITENGOKUWMON,究極体,究極体,如来型,如来型,ウィルス,ウィルス,"・火眼金睛（かがんきんせい）
・八戒炎天撃（はっかいえんてんげき）
・悟浄水天葬（ごじょうすいてんそう）
・超大聖雷天砲（ちょうたいせいらいてんほう）",https://digimon.net/cimages/digimon/seitengokuwmon.jpg,True,1,究極体,,6,False,False,False,True,616,3f7b08920c8b3ae82acfc8a2a283492132aa3454443ef19764946ba2a4fc818f,True
exmaquinamon,https://digimon.net/reference/detail.php?directory_name=exmaquinamon,エクスマキナモン,EXMAQUINAMON,究極体,究極体,特異型,特異型,データ,データ,・エスカトン,https://digimon.net/cimages/digimon/exmaquinamon.jpg,False,0,究極体,,6,False,False,False,True,220,adafb5b783e4bb05f9b6728225fe207d4c75e154917bc910b5b6c09b938837c8,True
dalphomon,https://digimon.net/reference/detail.php?directory_name=dalphomon,ダルフォモン,DALPHOMON,究極体,究極体,獣型,獣型,ウィルス,ウィルス,"・プロフェットオブエリヤ
・ジェイルマオン
・ブルータルヘイロウ",https://digimon.net/cimages/digimon/dalphomon.jpg,False,0,究極体,,6,False,False,False,True,423,5b83e80fa34a1eb0df0aa01eec971266654fa4c55a9ec42c1f959d8667796969,True
shishimamon,https://digimon.net/reference/detail.php?directory_name=shishimamon,シシマモン,SHISHIMAMON,完全体,完全体,聖獣型,聖獣型,ワクチン,ワクチン,"・光爪神楽（こうそうかぐら）
・魔祓灼光（まふつのしゃっこう）",https://digimon.net/cimages/digimon/shishimamon.jpg,False,0,完全体,,5,False,False,False,True,264,0c784c950c22fe177f7354c5c04dd30a8c9a66c64bb4147873e67d8b09188e80,True
darumamon,https://digimon.net/reference/detail.php?directory_name=darumamon,ダルマモン,DARUMAMON,完全体,完全体,突然変異型,突然変異型,ワクチン,ワクチン,"・猛進火達磨（もうしんひだるま）
・断災達磨落とし（だんさいだるまおとし）",https://digimon.net/cimages/digimon/darumamon.jpg,False,0,完全体,,5,False,False,False,True,267,f76409a26e4244d9ec96dd8f65142dd6d19293d23afcd2ec3f6b78140203cbc3,True
rhamphomon,https://digimon.net/reference/detail.php?directory_name=rhamphomon,ランフォモン,RHAMPHOMON,成熟期,成熟期,翼竜型,翼竜型,ウィルス,ウィルス,"・クリスタルキャノン
・ハンマーストライク
・ノーホープフォール
・クリスタルレイン",https://digimon.net/cimages/digimon/rhamphomon.jpg,False,0,成熟期,,4,False,False,False,True,359,68ba8d0d2b1926e86b51d43b6fed8614dffd8a7c63765fccc65fec2ebcdbc8f1,True
chronomon_destroy,https://digimon.net/reference/detail.php?directory_name=chronomon_destroy,クロノモン：デストロイモード,CHRONOMON：DESTROYMODE,究極体,究極体,神人型,神人型,ウィルス,ウィルス,"・フィンガーボム
・ホーリーフレア
・クロノデヴォリューション",https://digimon.net/cimages/digimon/chronomon_destroy.jpg,False,0,究極体,,6,False,False,False,True,363,971a25f18ad36bb7f4373ada8bf4d2fe78c930d8cb9563bcf6b173039565df83,True
chronomon_holy,https://digimon.net/reference/detail.php?directory_name=chronomon_holy,クロノモン：ホーリーモード,CHRONOMON：HOLYMODE,究極体,究極体,神人型,神人型,ワクチン,ワクチン,"・ホーリーフレア
・クロノスクロップ",https://digimon.net/cimages/digimon/chronomon_holy.jpg,False,0,究極体,,6,False,False,False,True,311,8788bfca04a2c49cfe84894c37ae6a5a8d08adbcec3f5bfcd74645d90fefb030,True
butenmon,https://digimon.net/reference/detail.php?directory_name=butenmon,ブテンモン,BUTENMON,完全体,完全体,神人型,神人型,ワクチン,ワクチン,"・日輪の舞
・暁光一閃",https://digimon.net/cimages/digimon/butenmon.jpg,False,0,完全体,,5,False,False,False,True,227,af3e5b5344de60e3644fbc78c2a382cb8dd874eb5d62b16ebc46a6693be50d15,True
buraimon,https://digimon.net/reference/detail.php?directory_name=buraimon,ブライモン,BURAIMON,成熟期,成熟期,鳥人型,鳥人型,ワクチン,ワクチン,"・ツバメ二枚返し
・秘剣・飛鳥落とし",https://digimon.net/cimages/digimon/buraimon.jpg,False,0,成熟期,,4,False,False,False,True,284,24b38f961809840e3e32b820074ccbc19e58cd71b9905850ad8ca858de4d2683,True
hyokomon,https://digimon.net/reference/detail.php?directory_name=hyokomon,ヒョコモン,HYOKOMON,成長期,成長期,ヒナ鳥型,ヒナ鳥型,ワクチン,ワクチン,"・唐竹割り
・秘剣ピヨピヨ斬り",https://digimon.net/cimages/digimon/hyokomon.jpg,False,0,成長期,,3,False,False,False,True,223,2c023a850d0191a5595064adb63d876633883aad3eeceb2918938ecf28d77a70,True
chicchimon,https://digimon.net/reference/detail.php?directory_name=chicchimon,チッチモン,CHICCHIMON,幼年期Ⅱ,幼年期Ⅱ,ヒナ鳥型,ヒナ鳥型,,,・ピヨピヨ,https://digimon.net/cimages/digimon/chicchimon.jpg,False,0,幼年期Ⅱ,,2,False,False,False,True,215,09e618b98ac54553d1bb8f339f192c2d3a63df78d77d07f4b1e0d867ea579e06,True
zombieplutomon,https://digimon.net/reference/detail.php?directory_name=zombieplutomon,ゾンビプルートモン,ZOMBIEPLUTOMON,究極体,究極体,アンデッド型,アンデッド型,ウィルス,ウィルス,"・ハザードホールド
・ヘルズスライス
・マリオネットアボミネーション",https://digimon.net/cimages/digimon/zombieplutomon.jpg,False,0,究極体,,6,False,False,False,True,311,0f576b99462ba70719914a8019dfef094d7223f3147320ac25bb61420e6c6eba,True
manekimon,https://digimon.net/reference/detail.php?directory_name=manekimon,マネキモン,MANEKIMON,成熟期,成熟期,パペット型,パペット型,ワクチン,ワクチン,"・小判振舞い
・招敵来来拳（しょうてきらいらいけん）",https://digimon.net/cimages/digimon/manekimon.jpg,False,0,成熟期,,4,False,False,False,True,221,f75babd2df8cf8f6df55f53c52647fba57a9ac591baebeed4109548063612207,True
hakubamon,https://digimon.net/reference/detail.php?directory_name=hakubamon,ハクバモン,HAKUBAMON,成熟期,成熟期,聖獣型,聖獣型,ワクチン,ワクチン,"・劈龍爪（へきりゅうそう）
・焔明珠（えんめいしゅ）",https://digimon.net/cimages/digimon/hakubamon.jpg,False,0,成熟期,,4,False,False,False,True,278,d3aa3b0198e605e62fd0bc901c2e47add712f2abee8adff5e86012fbf044e4a8,True
wankomon,https://digimon.net/reference/detail.php?directory_name=wankomon,ワンコモン,WANKOMON,成長期,成長期,獣型,獣型,ワクチン,ワクチン,"・豪狛毬（ごうはくきゅう）
・石土之体（いしづちのてい）",https://digimon.net/cimages/digimon/wankomon.jpg,False,0,成長期,,3,False,False,False,True,238,3c52687259c09013556bbfe52a9473e8b60f7ca31820248aa2026d9653daa91f,True
