species_id,internal_name,source_kind,source_id,official_type,official_attribute,sprite_family,donor_species_id,donor_species_constant,donor_assignment,palette_preset,override_asset
1,DM0001,digimon,nosferamon,アンデッド型,ウィルス,undead,169,SPECIES_CROBAT,explicit_dm0001,base,
2,DM0002,digimon,artiomon,獣人型,ワクチン,beast,53,SPECIES_PERSIAN,family_cycle_v0,base,
3,DM0003,digimon,atratusmon,突然変異型,データ,base,3,SPECIES_VENUSAUR,family_cycle_v0,base,
4,DM0004,digimon,albatusmon,突然変異型,データ,base,4,SPECIES_CHARMANDER,family_cycle_v0,base,
5,DM0005,digimon,heliosboamon,爬虫類型,データ,insect,14,SPECIES_KAKUNA,family_cycle_v0,base,
6,DM0006,digimon,habakirimon,神人型,ウィルス,holy,146,SPECIES_MOLTRES,family_cycle_v0,base,
7,DM0007,digimon,bearcatmon,獣人型,ワクチン,beast,162,SPECIES_FURRET,family_cycle_v0,base,
8,DM0008,digimon,taowumon,魔獣型,ウィルス,beast,190,SPECIES_AIPOM,family_cycle_v0,base,
9,DM0009,digimon,scourgechiropmon,マシーン型,ウィルス,machine,233,SPECIES_PORYGON2,family_cycle_v0,base,
10,DM0010,digimon,monarchlizamon,サイボーグ型,データ,machine,299,SPECIES_NOSEPASS,family_cycle_v0,base,
11,DM0011,digimon,apollomon_whispered,,,base,11,SPECIES_METAPOD,family_cycle_v0,base,
12,DM0012,digimon,kingwhamon,水棲哺乳類型,ワクチン,aquatic,116,SPECIES_HORSEA,family_cycle_v0,base,
13,DM0013,digimon,armamon_burstmode,,,base,13,SPECIES_WEEDLE,family_cycle_v0,base,
14,DM0014,digimon,armamon,,,base,14,SPECIES_KAKUNA,family_cycle_v0,base,
15,DM0015,digimon,shoutmonx5s,,,base,15,SPECIES_BEEDRILL,family_cycle_v0,base,
16,DM0016,digimon,vortexdramon,鳥竜型,データ,dragon,381,SPECIES_LATIOS,family_cycle_v0,base,
17,DM0017,digimon,shoutmonx4s,,,base,17,SPECIES_PIDGEOTTO,family_cycle_v0,base,
18,DM0018,digimon,shoutmonx3sd,,,base,18,SPECIES_PIDGEOT,family_cycle_v0,base,
19,DM0019,digimon,shoutmonx3gm,,,base,19,SPECIES_RATTATA,family_cycle_v0,base,
20,DM0020,digimon,azhdarmon,翼竜型,ウィルス,dragon,148,SPECIES_DRAGONAIR,family_cycle_v0,base,
21,DM0021,digimon,tengumon,鳥人型,ウィルス,base,21,SPECIES_SPEAROW,family_cycle_v0,base,
22,DM0022,digimon,amaterasumon,神人型,ワクチン,holy,281,SPECIES_KIRLIA,family_cycle_v0,base,
23,DM0023,digimon,enmamon,魔王型,ウィルス,demon,332,SPECIES_CACTURNE,family_cycle_v0,base,
24,DM0024,digimon,seitengokuwmon,如来型,ウィルス,base,24,SPECIES_ARBOK,family_cycle_v0,base,
25,DM0025,digimon,exmaquinamon,特異型,データ,base,25,SPECIES_PIKACHU,family_cycle_v0,base,
26,DM0026,digimon,dalphomon,獣型,ウィルス,beast,128,SPECIES_TAUROS,family_cycle_v0,base,
27,DM0027,digimon,shishimamon,聖獣型,ワクチン,holy,381,SPECIES_LATIOS,family_cycle_v0,base,
28,DM0028,digimon,darumamon,突然変異型,ワクチン,base,28,SPECIES_SANDSLASH,family_cycle_v0,base,
29,DM0029,digimon,rhamphomon,翼竜型,ウィルス,dragon,371,SPECIES_BAGON,family_cycle_v0,base,
30,DM0030,digimon,chronomon_destroy,神人型,ウィルス,holy,36,SPECIES_CLEFABLE,family_cycle_v0,base,
31,DM0031,digimon,chronomon_holy,神人型,ワクチン,holy,113,SPECIES_CHANSEY,family_cycle_v0,base,
32,DM0032,digimon,butenmon,神人型,ワクチン,holy,144,SPECIES_ARTICUNO,family_cycle_v0,base,
33,DM0033,digimon,buraimon,鳥人型,ワクチン,base,33,SPECIES_NIDORINO,family_cycle_v0,base,
34,DM0034,digimon,hyokomon,ヒナ鳥型,ワクチン,base,34,SPECIES_NIDOKING,family_cycle_v0,base,
35,DM0035,digimon,chicchimon,ヒナ鳥型,,base,35,SPECIES_CLEFAIRY,family_cycle_v0,base,
36,DM0036,digimon,zombieplutomon,アンデッド型,ウィルス,undead,356,SPECIES_DUSCLOPS,family_cycle_v0,base,
37,DM0037,digimon,manekimon,パペット型,ワクチン,base,37,SPECIES_VULPIX,family_cycle_v0,base,
38,DM0038,digimon,hakubamon,聖獣型,ワクチン,holy,176,SPECIES_TOGETIC,family_cycle_v0,base,
39,DM0039,digimon,wankomon,獣型,ワクチン,beast,300,SPECIES_SKITTY,family_cycle_v0,base,
40,DM0040,digimon,gasamon,軟体型,ウィルス,aquatic,270,SPECIES_LOTAD,family_cycle_v0,base,
41,DM0041,digimon,takinmon,獣型,ワクチン,beast,335,SPECIES_ZANGOOSE,family_cycle_v0,base,
42,DM0042,digimon,fujamon,水棲型,ウィルス,aquatic,272,SPECIES_LUDICOLO,family_cycle_v0,base,
43,DM0043,digimon,kakamon,獣型,ワクチン,beast,52,SPECIES_MEOWTH,family_cycle_v0,base,
44,DM0044,digimon,armalizamon,爬虫類型,データ,insect,48,SPECIES_VENONAT,family_cycle_v0,base,
45,DM0045,digimon,onibimon,ゴースト型,,undead,356,SPECIES_DUSCLOPS,family_cycle_v0,base,
46,DM0046,digimon,tomorimon,ゴースト型,,undead,92,SPECIES_GASTLY,family_cycle_v0,base,
47,DM0047,digimon,mococomon,スモーク型,,base,47,SPECIES_PARASECT,family_cycle_v0,base,
48,DM0048,digimon,fukamon,スモーク型,,base,48,SPECIES_VENONAT,family_cycle_v0,base,
49,DM0049,digimon,parallelmon,突然変異型,ウィルス,base,49,SPECIES_VENOMOTH,family_cycle_v0,base,
50,DM0050,digimon,nightchiropmon,獣人型,ウィルス,beast,190,SPECIES_AIPOM,family_cycle_v0,base,
51,DM0051,digimon,styracomon,竜人型,データ,dragon,384,SPECIES_RAYQUAZA,family_cycle_v0,base,
52,DM0052,digimon,taotiemon,鬼人型,ウィルス,demon,359,SPECIES_ABSOL,family_cycle_v0,base,
53,DM0053,digimon,craniummon_enbarrmon,聖騎士型,ワクチン,holy,334,SPECIES_ALTARIA,family_cycle_v0,base,
54,DM0054,digimon,enbarrmon,アンデッド型,データ,undead,356,SPECIES_DUSCLOPS,family_cycle_v0,base,
55,DM0055,digimon,metatromon,マシーン型,ワクチン,machine,306,SPECIES_AGGRON,family_cycle_v0,base,
56,DM0056,digimon,greatgryzmon,獣人型,ワクチン,beast,228,SPECIES_HOUNDOUR,family_cycle_v0,base,
57,DM0057,digimon,titamon_skullbaluchimon,神人型,ウィルス,holy,35,SPECIES_CLEFAIRY,family_cycle_v0,base,
58,DM0058,digimon,cougarmon,哺乳類型,ウィルス,beast,261,SPECIES_POOCHYENA,family_cycle_v0,base,
59,DM0059,digimon,masterblimpmon,マシーン型,データ,machine,375,SPECIES_METANG,family_cycle_v0,base,
60,DM0060,digimon,hyemon,獣型,データ,beast,300,SPECIES_SKITTY,family_cycle_v0,base,
61,DM0061,digimon,murasamemon,獣人型,ウィルス,beast,301,SPECIES_DELCATTY,family_cycle_v0,base,
62,DM0062,digimon,wolvermon,サイボーグ型,ワクチン,machine,378,SPECIES_REGICE,family_cycle_v0,base,
63,DM0063,digimon,chiropmon,哺乳類型,ウィルス,beast,359,SPECIES_ABSOL,family_cycle_v0,base,
64,DM0064,digimon,pristimon,パペット型,ワクチン,base,64,SPECIES_KADABRA,family_cycle_v0,base,
65,DM0065,digimon,dullahamon,ゴースト型,データ,undead,93,SPECIES_HAUNTER,family_cycle_v0,base,
66,DM0066,digimon,gekkomon,爬虫類型,データ,insect,292,SPECIES_SHEDINJA,family_cycle_v0,base,
67,DM0067,digimon,kekkomon,レッサー型,,base,67,SPECIES_MACHOKE,family_cycle_v0,base,
68,DM0068,digimon,kekomon,スライム型,,base,68,SPECIES_MACHAMP,family_cycle_v0,base,
69,DM0069,digimon,magneticdramon,岩竜型,ウィルス,dragon,130,SPECIES_GYARADOS,family_cycle_v0,base,
70,DM0070,digimon,maneuvermon,獣型,ウィルス,beast,162,SPECIES_FURRET,family_cycle_v0,base,
71,DM0071,digimon,turbomon,獣型,ウィルス,beast,190,SPECIES_AIPOM,family_cycle_v0,base,
72,DM0072,digimon,nyabootmon,パペット型,ウィルス,base,72,SPECIES_TENTACOOL,family_cycle_v0,base,
73,DM0073,digimon,yihumon,獣人型,ワクチン,beast,209,SPECIES_SNUBBULL,family_cycle_v0,base,
74,DM0074,digimon,ariemon,水棲型,データ,aquatic,98,SPECIES_KRABBY,family_cycle_v0,base,
75,DM0075,digimon,skullseadramon,アンデッド型,ウィルス,undead,94,SPECIES_GENGAR,family_cycle_v0,base,
76,DM0076,digimon,sharkmon,サイボーグ型,ウィルス,machine,306,SPECIES_AGGRON,family_cycle_v0,base,
77,DM0077,digimon,kaguyamon,パペット型,データ,base,77,SPECIES_PONYTA,family_cycle_v0,base,
78,DM0078,digimon,karakurumon,パペット型,データ,base,78,SPECIES_RAPIDASH,family_cycle_v0,base,
79,DM0079,digimon,kokeshimon,パペット型,データ,base,79,SPECIES_SLOWPOKE,family_cycle_v0,base,
80,DM0080,digimon,hanimon,パペット型,データ,base,80,SPECIES_SLOWBRO,family_cycle_v0,base,
81,DM0081,digimon,mockingbirdmon,マシーン型,ワクチン,machine,376,SPECIES_METAGROSS,family_cycle_v0,base,
