source_kind,source_id,name_ja,move_order,dm_technique_id,emerald_runtime_move_id,move_ja
digimon,nosferamon,ノスフェラモン,1,1,935,ランページバレット
digimon,nosferamon,ノスフェラモン,2,2,936,アネスシージアゲイズ
digimon,artiomon,アルティオモン,1,3,937,ドゥームバスター
digimon,artiomon,アルティオモン,2,4,938,ディキャピテイトクロウ
digimon,heliosboamon,ヘリオスボアモン,1,5,939,ソウルパラヴライザー
digimon,heliosboamon,ヘリオスボアモン,2,6,940,レストリクトアイ
digimon,habakirimon,ハバキリモン,1,7,941,羽々斬（はばきり）
digimon,habakirimon,ハバキリモン,2,8,942,麁正（あらまさ）
digimon,bearcatmon,ベアキャットモン,1,9,943,ペネトレイトブロウ
digimon,bearcatmon,ベアキャットモン,2,10,944,マーダライズラッシュ
digimon,bearcatmon,ベアキャットモン,3,11,945,ベアダウンスピニングキック
digimon,taowumon,タオウーモン,1,12,946,氷骸礫(ひょうがいれき)
digimon,taowumon,タオウーモン,2,13,947,轟蹄崩(ごうていほう)
digimon,taowumon,タオウーモン,3,14,948,凍烈檮牙(とうれつとうが)
digimon,scourgechiropmon,スカージキロプモン,1,15,949,トライアンギュレーションスキャン
digimon,scourgechiropmon,スカージキロプモン,2,16,950,デスペアブラスト
digimon,scourgechiropmon,スカージキロプモン,3,17,951,エリミネイトレイン
digimon,scourgechiropmon,スカージキロプモン,4,18,952,サイレントスクリーム
digimon,monarchlizamon,モナークリザモン,1,19,953,アナイアレイトエッジ
digimon,monarchlizamon,モナークリザモン,2,20,954,モナークオーディナンス
digimon,monarchlizamon,モナークリザモン,3,21,955,ファイナルジャッジメント
digimon,apollomon_whispered,アポロモン：ウィスパード,1,22,956,アロー・オブ・ウィスパード
digimon,apollomon_whispered,アポロモン：ウィスパード,2,23,957,サン・オブ・ソローズ
digimon,kingwhamon,キングホエーモン,1,24,958,ウォジェット
digimon,kingwhamon,キングホエーモン,2,25,959,ライドライト
digimon,armamon_burstmode,アルマモン：バーストモード,1,26,960,ソード・オブ・メテオ
digimon,armamon_burstmode,アルマモン：バーストモード,2,27,961,インフィニティソードレイン
digimon,armamon,アルマモン,1,28,962,マルクトクリスタル
digimon,armamon,アルマモン,2,29,963,レインボーハンド
digimon,armamon,アルマモン,3,30,964,ソードマスカレード
digimon,shoutmonx5s,シャウトモンX5S,1,31,965,スペースチャクラム
digimon,shoutmonx5s,シャウトモンX5S,2,32,966,ヘリオスラッシャー
digimon,shoutmonx5s,シャウトモンX5S,3,33,967,コズモビクトリー
digimon,vortexdramon,ヴォルテクスドラモン,1,34,968,フローズンガスト
digimon,vortexdramon,ヴォルテクスドラモン,2,35,969,ブレイジングガスト
digimon,vortexdramon,ヴォルテクスドラモン,3,36,970,レーヴァテイン
digimon,shoutmonx4s,シャウトモンX4S,1,37,971,ブレイズファイアー
digimon,shoutmonx4s,シャウトモンX4S,2,38,972,クロスレッド＆ブルー
digimon,shoutmonx4s,シャウトモンX4S,3,39,973,ビクトリーブレイブ
digimon,shoutmonx3sd,シャウトモンX3SD,1,40,974,アシッドタイフーン
digimon,shoutmonx3sd,シャウトモンX3SD,2,41,975,ビリオンスタブ
digimon,shoutmonx3gm,シャウトモンX3GM,1,42,976,ワイルドバーニング
digimon,shoutmonx3gm,シャウトモンX3GM,2,43,977,ブリリアンスダガー
digimon,shoutmonx3gm,シャウトモンX3GM,3,44,978,ブレス・オブ・ペルーン
digimon,azhdarmon,アズダルモン,1,45,979,トマホークストライク
digimon,azhdarmon,アズダルモン,2,46,980,トライカーヴレイン
digimon,azhdarmon,アズダルモン,3,47,981,トリニティライトニング
digimon,tengumon,テングモン,1,48,982,魔縁斬蹴撃（まえんざんしゅうげき）
digimon,tengumon,テングモン,2,49,983,尊天大烈風（そんてんだいれっぷう）
digimon,amaterasumon,アマテラスモン,1,50,984,厳之御魂（いづのみたま）
digimon,amaterasumon,アマテラスモン,2,51,985,六合照徹閃（りくごうしょうてつせん）
digimon,enmamon,エンマモン,1,52,986,浄玻璃鏡(じょうはりのかがみ)
digimon,enmamon,エンマモン,2,53,987,閻羅王降誕（えんらおうごうたん）
digimon,seitengokuwmon,セイテンゴクウモン,1,54,988,火眼金睛（かがんきんせい）
digimon,seitengokuwmon,セイテンゴクウモン,2,55,989,八戒炎天撃（はっかいえんてんげき）
digimon,seitengokuwmon,セイテンゴクウモン,3,56,990,悟浄水天葬（ごじょうすいてんそう）
digimon,seitengokuwmon,セイテンゴクウモン,4,57,991,超大聖雷天砲（ちょうたいせいらいてんほう）
digimon,exmaquinamon,エクスマキナモン,1,58,992,エスカトン
digimon,dalphomon,ダルフォモン,1,59,993,プロフェットオブエリヤ
digimon,dalphomon,ダルフォモン,2,60,994,ジェイルマオン
digimon,dalphomon,ダルフォモン,3,61,995,ブルータルヘイロウ
digimon,shishimamon,シシマモン,1,62,996,光爪神楽（こうそうかぐら）
digimon,shishimamon,シシマモン,2,63,997,魔祓灼光（まふつのしゃっこう）
digimon,darumamon,ダルマモン,1,64,998,猛進火達磨（もうしんひだるま）
digimon,darumamon,ダルマモン,2,65,999,断災達磨落とし（だんさいだるまおとし）
digimon,rhamphomon,ランフォモン,1,66,1000,クリスタルキャノン
digimon,rhamphomon,ランフォモン,2,67,1001,ハンマーストライク
digimon,rhamphomon,ランフォモン,3,68,1002,ノーホープフォール
digimon,rhamphomon,ランフォモン,4,69,1003,クリスタルレイン
digimon,chronomon_destroy,クロノモン：デストロイモード,1,70,1004,フィンガーボム
digimon,chronomon_destroy,クロノモン：デストロイモード,2,71,1005,ホーリーフレア
digimon,chronomon_destroy,クロノモン：デストロイモード,3,72,1006,クロノデヴォリューション
digimon,chronomon_holy,クロノモン：ホーリーモード,1,71,1005,ホーリーフレア
digimon,chronomon_holy,クロノモン：ホーリーモード,2,73,1007,クロノスクロップ
digimon,butenmon,ブテンモン,1,74,1008,日輪の舞
digimon,butenmon,ブテンモン,2,75,1009,暁光一閃
digimon,buraimon,ブライモン,1,76,1010,ツバメ二枚返し
digimon,buraimon,ブライモン,2,77,1011,秘剣・飛鳥落とし
digimon,hyokomon,ヒョコモン,1,78,1012,唐竹割り
digimon,hyokomon,ヒョコモン,2,79,1013,秘剣ピヨピヨ斬り
digimon,chicchimon,チッチモン,1,80,1014,ピヨピヨ
digimon,zombieplutomon,ゾンビプルートモン,1,81,1015,ハザードホールド
digimon,zombieplutomon,ゾンビプルートモン,2,82,1016,ヘルズスライス
