local_index,glyph_id_hex,glyph_id_decimal,char,codepoint,source,source_encoding,source_bbx,canonical_text,canonical_glyph_appearance
0,0x0200,512,^,U+005E,M+ Bitmap Font mplus_f12r,Unicode/Latin 94,"6x13+0,-2",yes,no (font-v0 fallback)
1,0x0201,513,Σ,U+03A3,M+ Bitmap Font mplus_j12r,JISX0208 0x2632,"12x13+0,-2",yes,no (font-v0 fallback)
2,0x0202,514,Ω,U+03A9,M+ Bitmap Font mplus_j12r,JISX0208 0x2638,"12x13+0,-2",yes,no (font-v0 fallback)
3,0x0203,515,Ⅱ,U+2161,M+ Bitmap Font mplus_j12r,JISX0208 0x2D36,"12x13+0,-2",yes,no (font-v0 fallback)
4,0x0204,516,∞,U+221E,M+ Bitmap Font mplus_j12r,JISX0208 0x2167,"12x13+0,-2",yes,no (font-v0 fallback)
5,0x0205,517,≪,U+226A,M+ Bitmap Font mplus_j12r,JISX0208 0x2263,"12x13+0,-2",yes,no (font-v0 fallback)
6,0x0206,518,≫,U+226B,M+ Bitmap Font mplus_j12r,JISX0208 0x2264,"12x13+0,-2",yes,no (font-v0 fallback)
7,0x0207,519,々,U+3005,M+ Bitmap Font mplus_j12r,JISX0208 0x2139,"12x13+0,-2",yes,no (font-v0 fallback)
8,0x0208,520,ヴ,U+30F4,M+ Bitmap Font mplus_j12r,JISX0208 0x2574,"12x13+0,-2",yes,no (font-v0 fallback)
9,0x0209,521,・,U+30FB,M+ Bitmap Font mplus_j12r,JISX0208 0x2126,"12x13+0,-2",yes,no (font-v0 fallback)
10,0x020A,522,一,U+4E00,M+ Bitmap Font mplus_j12r,JISX0208 0x306C,"12x13+0,-2",yes,no (font-v0 fallback)
11,0x020B,523,万,U+4E07,M+ Bitmap Font mplus_j12r,JISX0208 0x4B7C,"12x13+0,-2",yes,no (font-v0 fallback)
12,0x020C,524,三,U+4E09,M+ Bitmap Font mplus_j12r,JISX0208 0x3B30,"12x13+0,-2",yes,no (font-v0 fallback)
13,0x020D,525,上,U+4E0A,M+ Bitmap Font mplus_j12r,JISX0208 0x3E65,"12x13+0,-2",yes,no (font-v0 fallback)
14,0x020E,526,下,U+4E0B,M+ Bitmap Font mplus_j12r,JISX0208 0x323C,"12x13+0,-2",yes,no (font-v0 fallback)
15,0x020F,527,世,U+4E16,M+ Bitmap Font mplus_j12r,JISX0208 0x4024,"12x13+0,-2",yes,no (font-v0 fallback)
16,0x0210,528,両,U+4E21,M+ Bitmap Font mplus_j12r,JISX0208 0x4E3E,"12x13+0,-2",yes,no (font-v0 fallback)
17,0x0211,529,丸,U+4E38,M+ Bitmap Font mplus_j12r,JISX0208 0x345D,"12x13+0,-2",yes,no (font-v0 fallback)
18,0x0212,530,之,U+4E4B,M+ Bitmap Font mplus_j12r,JISX0208 0x4737,"12x13+0,-2",yes,no (font-v0 fallback)
19,0x0213,531,乗,U+4E57,M+ Bitmap Font mplus_j12r,JISX0208 0x3E68,"12x13+0,-2",yes,no (font-v0 fallback)
20,0x0214,532,九,U+4E5D,M+ Bitmap Font mplus_j12r,JISX0208 0x3665,"12x13+0,-2",yes,no (font-v0 fallback)
21,0x0215,533,乱,U+4E71,M+ Bitmap Font mplus_j12r,JISX0208 0x4D70,"12x13+0,-2",yes,no (font-v0 fallback)
22,0x0216,534,乾,U+4E7E,M+ Bitmap Font mplus_j12r,JISX0208 0x3425,"12x13+0,-2",yes,no (font-v0 fallback)
23,0x0217,535,二,U+4E8C,M+ Bitmap Font mplus_j12r,JISX0208 0x4673,"12x13+0,-2",yes,no (font-v0 fallback)
24,0x0218,536,亜,U+4E9C,M+ Bitmap Font mplus_j12r,JISX0208 0x3021,"12x13+0,-2",yes,no (font-v0 fallback)
25,0x0219,537,人,U+4EBA,M+ Bitmap Font mplus_j12r,JISX0208 0x3F4D,"12x13+0,-2",yes,no (font-v0 fallback)
26,0x021A,538,付,U+4ED8,M+ Bitmap Font mplus_j12r,JISX0208 0x4955,"12x13+0,-2",yes,no (font-v0 fallback)
27,0x021B,539,仰,U+4EF0,M+ Bitmap Font mplus_j12r,JISX0208 0x3644,"12x13+0,-2",yes,no (font-v0 fallback)
28,0x021C,540,伍,U+4F0D,M+ Bitmap Font mplus_j12r,JISX0208 0x3860,"12x13+0,-2",yes,no (font-v0 fallback)
29,0x021D,541,伐,U+4F10,M+ Bitmap Font mplus_j12r,JISX0208 0x4832,"12x13+0,-2",yes,no (font-v0 fallback)
30,0x021E,542,伝,U+4F1D,M+ Bitmap Font mplus_j12r,JISX0208 0x4541,"12x13+0,-2",yes,no (font-v0 fallback)
31,0x021F,543,伸,U+4F38,M+ Bitmap Font mplus_j12r,JISX0208 0x3F2D,"12x13+0,-2",yes,no (font-v0 fallback)
32,0x0220,544,低,U+4F4E,M+ Bitmap Font mplus_j12r,JISX0208 0x4463,"12x13+0,-2",yes,no (font-v0 fallback)
33,0x0221,545,体,U+4F53,M+ Bitmap Font mplus_j12r,JISX0208 0x424E,"12x13+0,-2",yes,no (font-v0 fallback)
34,0x0222,546,供,U+4F9B,M+ Bitmap Font mplus_j12r,JISX0208 0x3621,"12x13+0,-2",yes,no (font-v0 fallback)
35,0x0223,547,価,U+4FA1,M+ Bitmap Font mplus_j12r,JISX0208 0x3241,"12x13+0,-2",yes,no (font-v0 fallback)
36,0x0224,548,修,U+4FEE,M+ Bitmap Font mplus_j12r,JISX0208 0x3D24,"12x13+0,-2",yes,no (font-v0 fallback)
37,0x0225,549,倒,U+5012,M+ Bitmap Font mplus_j12r,JISX0208 0x455D,"12x13+0,-2",yes,no (font-v0 fallback)
38,0x0226,550,偃,U+5043,M+ Bitmap Font mplus_j12r,JISX0208 0x5070,"12x13+0,-2",yes,no (font-v0 fallback)
39,0x0227,551,儀,U+5100,M+ Bitmap Font mplus_j12r,JISX0208 0x3537,"12x13+0,-2",yes,no (font-v0 fallback)
40,0x0228,552,光,U+5149,M+ Bitmap Font mplus_j12r,JISX0208 0x3877,"12x13+0,-2",yes,no (font-v0 fallback)
41,0x0229,553,免,U+514D,M+ Bitmap Font mplus_j12r,JISX0208 0x4C48,"12x13+0,-2",yes,no (font-v0 fallback)
42,0x022A,554,兎,U+514E,M+ Bitmap Font mplus_j12r,JISX0208 0x4546,"12x13+0,-2",yes,no (font-v0 fallback)
43,0x022B,555,兜,U+515C,M+ Bitmap Font mplus_j12r,JISX0208 0x3375,"12x13+0,-2",yes,no (font-v0 fallback)
44,0x022C,556,入,U+5165,M+ Bitmap Font mplus_j12r,JISX0208 0x467E,"12x13+0,-2",yes,no (font-v0 fallback)
45,0x022D,557,八,U+516B,M+ Bitmap Font mplus_j12r,JISX0208 0x482C,"12x13+0,-2",yes,no (font-v0 fallback)
46,0x022E,558,六,U+516D,M+ Bitmap Font mplus_j12r,JISX0208 0x4F3B,"12x13+0,-2",yes,no (font-v0 fallback)
47,0x022F,559,円,U+5186,M+ Bitmap Font mplus_j12r,JISX0208 0x315F,"12x13+0,-2",yes,no (font-v0 fallback)
48,0x0230,560,冥,U+51A5,M+ Bitmap Font mplus_j12r,JISX0208 0x4C3D,"12x13+0,-2",yes,no (font-v0 fallback)
49,0x0231,561,冰,U+51B0,M+ Bitmap Font mplus_j12r,JISX0208 0x5156,"12x13+0,-2",yes,no (font-v0 fallback)
50,0x0232,562,冲,U+51B2,M+ Bitmap Font mplus_j12r,JISX0208 0x5155,"12x13+0,-2",yes,no (font-v0 fallback)
51,0x0233,563,凍,U+51CD,M+ Bitmap Font mplus_j12r,JISX0208 0x4560,"12x13+0,-2",yes,no (font-v0 fallback)
52,0x0234,564,凶,U+51F6,M+ Bitmap Font mplus_j12r,JISX0208 0x3627,"12x13+0,-2",yes,no (font-v0 fallback)
53,0x0235,565,刀,U+5200,M+ Bitmap Font mplus_j12r,JISX0208 0x4561,"12x13+0,-2",yes,no (font-v0 fallback)
54,0x0236,566,刃,U+5203,M+ Bitmap Font mplus_j12r,JISX0208 0x3F4F,"12x13+0,-2",yes,no (font-v0 fallback)
55,0x0237,567,分,U+5206,M+ Bitmap Font mplus_j12r,JISX0208 0x4A2C,"12x13+0,-2",yes,no (font-v0 fallback)
56,0x0238,568,切,U+5207,M+ Bitmap Font mplus_j12r,JISX0208 0x405A,"12x13+0,-2",yes,no (font-v0 fallback)
57,0x0239,569,初,U+521D,M+ Bitmap Font mplus_j12r,JISX0208 0x3D69,"12x13+0,-2",yes,no (font-v0 fallback)
58,0x023A,570,判,U+5224,M+ Bitmap Font mplus_j12r,JISX0208 0x483D,"12x13+0,-2",yes,no (font-v0 fallback)
59,0x023B,571,利,U+5229,M+ Bitmap Font mplus_j12r,JISX0208 0x4D78,"12x13+0,-2",yes,no (font-v0 fallback)
60,0x023C,572,制,U+5236,M+ Bitmap Font mplus_j12r,JISX0208 0x4029,"12x13+0,-2",yes,no (font-v0 fallback)
61,0x023D,573,刻,U+523B,M+ Bitmap Font mplus_j12r,JISX0208 0x396F,"12x13+0,-2",yes,no (font-v0 fallback)
62,0x023E,574,剛,U+525B,M+ Bitmap Font mplus_j12r,JISX0208 0x3964,"12x13+0,-2",yes,no (font-v0 fallback)
63,0x023F,575,剣,U+5263,M+ Bitmap Font mplus_j12r,JISX0208 0x3775,"12x13+0,-2",yes,no (font-v0 fallback)
64,0x0240,576,割,U+5272,M+ Bitmap Font mplus_j12r,JISX0208 0x3364,"12x13+0,-2",yes,no (font-v0 fallback)
65,0x0241,577,劈,U+5288,M+ Bitmap Font mplus_j12r,JISX0208 0x517C,"12x13+0,-2",yes,no (font-v0 fallback)
66,0x0242,578,劉,U+5289,M+ Bitmap Font mplus_j12r,JISX0208 0x4E2D,"12x13+0,-2",yes,no (font-v0 fallback)
67,0x0243,579,力,U+529B,M+ Bitmap Font mplus_j12r,JISX0208 0x4E4F,"12x13+0,-2",yes,no (font-v0 fallback)
68,0x0244,580,助,U+52A9,M+ Bitmap Font mplus_j12r,JISX0208 0x3D75,"12x13+0,-2",yes,no (font-v0 fallback)
69,0x0245,581,勇,U+52C7,M+ Bitmap Font mplus_j12r,JISX0208 0x4D26,"12x13+0,-2",yes,no (font-v0 fallback)
70,0x0246,582,動,U+52D5,M+ Bitmap Font mplus_j12r,JISX0208 0x4630,"12x13+0,-2",yes,no (font-v0 fallback)
71,0x0247,583,勢,U+52E2,M+ Bitmap Font mplus_j12r,JISX0208 0x402A,"12x13+0,-2",yes,no (font-v0 fallback)
