dm_technique_id,emerald_runtime_move_id,name_ja,owner_count,direct_profile_mention_count,evidence_signals,type,type_status,category,power,accuracy,pp,effect,effect_argument,effect_status,target,priority,makes_contact,derivation_version
1,935,ランページバレット,1,1,type_owner_context:TYPE_GHOST:2 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:162.0>=140.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_GHOST,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,114,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
2,936,アネスシージアゲイズ,1,1,type_owner_context:TYPE_GHOST:2 ; category_scores:physical=0:special=4:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_GHOST,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,114,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
3,937,ドゥームバスター,1,1,type_owner_context:TYPE_FIGHTING:2 ; category_scores:physical=2:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIGHTING,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,157,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
4,938,ディキャピテイトクロウ,1,1,type_owner_context:TYPE_FIGHTING:2 ; category_scores:physical=4:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIGHTING,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,137,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
5,939,ソウルパラヴライザー,1,1,type:TYPE_GHOST:ソウル:name:+6 ; type:TYPE_GHOST:ソウル:profile_context:+6 ; type_choice:TYPE_GHOST:12 ; category_scores:physical=0:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_GHOST,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,134,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
6,940,レストリクトアイ,1,1,type_owner_context:TYPE_GHOST:2 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:199.0>=100.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_GHOST,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,134,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
7,941,羽々斬（はばきり）,1,1,type:TYPE_GROUND:土:profile_context:+3 ; type:TYPE_FLYING:羽:name:+6 ; type:TYPE_FLYING:羽:profile_context:+6 ; type:TYPE_GHOST:魂:profile_context:+3 ; type_choice:TYPE_FLYING:12 ; category_scores:physical=12:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; power:必殺:profile_context:+8 ; power:破壊:profile_context:+3 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FLYING,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,220,85,5,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,true,profile-derived-v1
8,942,麁正（あらまさ）,1,1,type:TYPE_GHOST:魂:profile_context:+3 ; type_choice:TYPE_GHOST:3 ; category_scores:physical=6:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_GHOST,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,165,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
9,943,ペネトレイトブロウ,1,1,type_owner_context:TYPE_FIGHTING:2 ; category_scores:physical=2:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIGHTING,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,163,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
10,944,マーダライズラッシュ,1,1,type:TYPE_FIGHTING:拳:profile_context:+3 ; type_choice:TYPE_FIGHTING:3 ; category_scores:physical=6:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIGHTING,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,143,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
