species_id,source_kind,source_id,name_ja,official_level_or_grade,gameplay_origin,balance_tier,archetype,bst,base_hp,base_attack,base_defense,base_speed,base_sp_attack,base_sp_defense,growth_rate,catch_rate,exp_yield,battle_affinity,runtime_status
1,digimon,nosferamon,ノスフェラモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
2,digimon,artiomon,アルティオモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,mixed,600,100,110,90,100,110,90,slow,30,240,neutral_v0,playtest_parameter_ready
3,digimon,atratusmon,アトラタスモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
4,digimon,albatusmon,アルバタスモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
5,digimon,heliosboamon,ヘリオスボアモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,balanced,520,87,87,87,87,86,86,slow,60,180,neutral_v0,playtest_parameter_ready
6,digimon,habakirimon,ハバキリモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical_tank,600,110,105,130,75,75,105,slow,30,240,neutral_v0,playtest_parameter_ready
7,digimon,bearcatmon,ベアキャットモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,special_tank,520,96,65,91,69,91,108,slow,60,180,neutral_v0,playtest_parameter_ready
8,digimon,taowumon,タオウーモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_special,600,90,80,89,128,119,94,slow,30,240,neutral_v0,playtest_parameter_ready
9,digimon,scourgechiropmon,スカージキロプモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,physical_tank,520,96,91,112,65,65,91,slow,60,180,neutral_v0,playtest_parameter_ready
10,digimon,monarchlizamon,モナークリザモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,balanced,520,87,87,87,87,86,86,slow,60,180,neutral_v0,playtest_parameter_ready
11,digimon,apollomon_whispered,アポロモン：ウィスパード,"究極体
(クロスウォーズ)",project_generated_gameplay_v0_noncanonical,究極体,physical,600,100,125,100,95,80,100,slow,30,240,neutral_v0,playtest_parameter_ready
12,digimon,kingwhamon,キングホエーモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical_tank,600,110,105,130,75,75,105,slow,30,240,neutral_v0,playtest_parameter_ready
13,digimon,armamon_burstmode,アルマモン：バーストモード,"究極体
(クロスウォーズ)",project_generated_gameplay_v0_noncanonical,究極体,physical_tank,600,110,105,130,75,75,105,slow,30,240,neutral_v0,playtest_parameter_ready
14,digimon,armamon,アルマモン,"究極体
(クロスウォーズ)",project_generated_gameplay_v0_noncanonical,究極体,mixed,600,100,110,90,100,110,90,slow,30,240,neutral_v0,playtest_parameter_ready
15,digimon,shoutmonx5s,シャウトモンX5S,"究極体
(クロスウォーズ)",project_generated_gameplay_v0_noncanonical,究極体,physical_tank,600,110,105,130,75,75,105,slow,30,240,neutral_v0,playtest_parameter_ready
