dm_technique_id,emerald_runtime_move_id,name_ja,first_source_kind,mapping_status
1,935,ランページバレット,digimon,exact_official_string
2,936,アネスシージアゲイズ,digimon,exact_official_string
3,937,ドゥームバスター,digimon,exact_official_string
4,938,ディキャピテイトクロウ,digimon,exact_official_string
5,939,ソウルパラヴライザー,digimon,exact_official_string
6,940,レストリクトアイ,digimon,exact_official_string
7,941,羽々斬（はばきり）,digimon,exact_official_string
8,942,麁正（あらまさ）,digimon,exact_official_string
9,943,ペネトレイトブロウ,digimon,exact_official_string
10,944,マーダライズラッシュ,digimon,exact_official_string
11,945,ベアダウンスピニングキック,digimon,exact_official_string
12,946,氷骸礫(ひょうがいれき),digimon,exact_official_string
13,947,轟蹄崩(ごうていほう),digimon,exact_official_string
14,948,凍烈檮牙(とうれつとうが),digimon,exact_official_string
15,949,トライアンギュレーションスキャン,digimon,exact_official_string
16,950,デスペアブラスト,digimon,exact_official_string
17,951,エリミネイトレイン,digimon,exact_official_string
18,952,サイレントスクリーム,digimon,exact_official_string
19,953,アナイアレイトエッジ,digimon,exact_official_string
20,954,モナークオーディナンス,digimon,exact_official_string
21,955,ファイナルジャッジメント,digimon,exact_official_string
22,956,アロー・オブ・ウィスパード,digimon,exact_official_string
23,957,サン・オブ・ソローズ,digimon,exact_official_string
24,958,ウォジェット,digimon,exact_official_string
25,959,ライドライト,digimon,exact_official_string
26,960,ソード・オブ・メテオ,digimon,exact_official_string
27,961,インフィニティソードレイン,digimon,exact_official_string
28,962,マルクトクリスタル,digimon,exact_official_string
29,963,レインボーハンド,digimon,exact_official_string
30,964,ソードマスカレード,digimon,exact_official_string
31,965,スペースチャクラム,digimon,exact_official_string
32,966,ヘリオスラッシャー,digimon,exact_official_string
33,967,コズモビクトリー,digimon,exact_official_string
34,968,フローズンガスト,digimon,exact_official_string
35,969,ブレイジングガスト,digimon,exact_official_string
36,970,レーヴァテイン,digimon,exact_official_string
37,971,ブレイズファイアー,digimon,exact_official_string
38,972,クロスレッド＆ブルー,digimon,exact_official_string
39,973,ビクトリーブレイブ,digimon,exact_official_string
40,974,アシッドタイフーン,digimon,exact_official_string
41,975,ビリオンスタブ,digimon,exact_official_string
42,976,ワイルドバーニング,digimon,exact_official_string
43,977,ブリリアンスダガー,digimon,exact_official_string
44,978,ブレス・オブ・ペルーン,digimon,exact_official_string
45,979,トマホークストライク,digimon,exact_official_string
46,980,トライカーヴレイン,digimon,exact_official_string
47,981,トリニティライトニング,digimon,exact_official_string
